lat,lon,2017/08/16,
35.166668,260.45834,49.8993, 
35.166668,260.5,49.808353, 
35.166668,260.54166,50.053074, 
35.166668,260.58334,50.143246, 
35.166668,260.625,50.33438, 
35.166668,260.66666,50.443085, 
35.166668,260.70834,50.62801, 
35.166668,260.75,51.323895, 
35.166668,260.79166,51.506153, 
35.166668,260.83334,51.600304, 
35.166668,260.875,51.99681, 
35.166668,260.91666,51.937927, 
35.166668,260.95834,52.014416, 
35.166668,261.0,52.194218, 
35.166668,261.04166,52.426285, 
35.166668,261.08334,52.276634, 
35.166668,261.125,52.08097, 
35.166668,261.16666,51.902187, 
35.166668,261.20834,51.53895, 
35.166668,261.25,51.211815, 
35.166668,261.29166,51.075867, 
35.166668,261.33334,50.70161, 
35.166668,261.375,50.309963, 
35.166668,261.41666,49.97424, 
35.166668,261.45834,50.033985, 
35.166668,261.5,50.482525, 
35.166668,261.54166,50.800064, 
35.166668,261.58334,51.404808, 
35.166668,261.625,52.24102, 
35.166668,261.66666,53.111404, 
35.166668,261.70834,53.955708, 
35.166668,261.75,54.42241, 
35.166668,261.79166,54.593643, 
35.166668,261.83334,54.448914, 
35.166668,261.875,54.21823, 
35.166668,261.91666,53.756794, 
35.166668,261.95834,53.052067, 
35.166668,262.0,52.00699, 
35.166668,262.04166,50.103077, 
35.166668,262.08334,48.468987, 
35.166668,262.125,46.631466, 
35.166668,262.16666,47.713985, 
35.166668,262.20834,51.189365, 
35.166668,262.25,54.212227, 
35.166668,262.29166,55.74985, 
35.166668,262.33334,56.57848, 
35.166668,262.375,57.083794, 
35.166668,262.41666,57.96958, 
35.166668,262.45834,59.250645, 
35.166668,262.5,60.287823, 
35.166668,262.54166,60.71425, 
35.166668,262.58334,61.457367, 
35.166668,262.625,61.409946, 
35.166668,262.66666,61.506443, 
35.166668,262.70834,61.08027, 
35.166668,262.75,60.422005, 
35.166668,262.79166,59.47552, 
35.166668,262.83334,58.490376, 
35.166668,262.875,57.55914, 
35.166668,262.91666,57.27825, 
35.166668,262.95834,57.727432, 
35.166668,263.0,58.580208, 
35.166668,263.04166,59.29984, 
35.166668,263.08334,60.300083, 
35.166668,263.125,61.22593, 
35.166668,263.16666,61.87629, 
35.166668,263.20834,62.565594, 
35.166668,263.25,63.21698, 
35.166668,263.29166,63.842587, 
35.166668,263.33334,64.61527, 
35.166668,263.375,64.91769, 
35.166668,263.41666,65.79412, 
35.166668,263.45834,66.35328, 
35.166668,263.5,65.98484, 
35.166668,263.54166,65.37397, 
35.166668,263.58334,64.99062, 
35.166668,263.625,64.657196, 
35.166668,263.66666,64.37387, 
35.166668,263.70834,64.13153, 
35.166668,263.75,64.00386, 
35.166668,263.79166,64.38931, 
35.166668,263.83334,64.906166, 
35.166668,263.875,65.361885, 
35.166668,263.91666,65.528915, 
35.166668,263.95834,66.30473, 
35.166668,264.0,66.78154, 
35.166668,264.04166,67.15103, 
35.166668,264.08334,67.268845, 
35.166668,264.125,67.58651, 
35.166668,264.16666,67.78316, 
35.166668,264.20834,67.96416, 
35.166668,264.25,68.38169, 
35.166668,264.29166,68.82321, 
35.166668,264.33334,69.35113, 
35.166668,264.375,69.85677, 
35.166668,264.41666,70.190834, 
35.166668,264.45834,70.15108, 
35.166668,264.5,70.30351, 
35.166668,264.54166,69.94922, 
35.166668,264.58334,69.85601, 
35.166668,264.625,70.04731, 
35.166668,264.66666,70.369484, 
35.166668,264.70834,70.08878, 
35.166668,264.75,70.18689, 
35.166668,264.79166,70.45254, 
35.166668,264.83334,70.91414, 
35.166668,264.875,71.39594, 
35.166668,264.91666,71.413925, 
35.166668,264.95834,71.462, 
35.166668,265.0,71.42385, 
35.208336,260.0,53.15113, 
35.208336,260.04166,52.97945, 
35.208336,260.08334,52.83569, 
35.208336,260.125,53.00094, 
35.208336,260.16666,52.77756, 
35.208336,260.20834,52.084007, 
35.208336,260.25,51.276516, 
35.208336,260.29166,50.55154, 
35.208336,260.33334,49.85273, 
35.208336,260.375,49.272533, 
35.208336,260.41666,49.069134, 
35.208336,260.45834,49.545433, 
35.208336,260.5,50.250122, 
35.208336,260.54166,50.430866, 
35.208336,260.58334,50.582294, 
35.208336,260.625,50.778336, 
35.208336,260.66666,50.70882, 
35.208336,260.70834,51.2214, 
35.208336,260.75,51.655735, 
35.208336,260.79166,52.147156, 
35.208336,260.83334,52.419395, 
35.208336,260.875,52.623863, 
35.208336,260.91666,52.681767, 
35.208336,260.95834,52.63118, 
35.208336,261.0,52.63656, 
35.208336,261.04166,52.715313, 
35.208336,261.08334,52.678352, 
35.208336,261.125,52.519295, 
35.208336,261.16666,52.16822, 
35.208336,261.20834,51.80711, 
35.208336,261.25,51.556625, 
35.208336,261.29166,51.4894, 
35.208336,261.33334,51.354847, 
35.208336,261.375,51.093857, 
35.208336,261.41666,50.869556, 
35.208336,261.45834,51.016853, 
35.208336,261.5,51.293144, 
35.208336,261.54166,51.593605, 
35.208336,261.58334,52.223507, 
35.208336,261.625,52.851883, 
35.208336,261.66666,53.297153, 
35.208336,261.70834,53.701946, 
35.208336,261.75,54.29885, 
35.208336,261.79166,54.572773, 
